Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Year
Afghanistan,58.19375,269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,16.58125,15.581249999999999,0.415375,8.2125,2000_2015
Albania,75.15625,45.0625,0.6875,4.84875,193.259090710625,98.0,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,1.61875,1.7,0.709875,12.1375,2000_2015
Algeria,73.61875,108.1875,20.3125,0.4066666666666667,236.185240668625,78.0,1943.875,48.74375,23.5,91.75,4.604,91.875,0.1,2847.8533923125,6.09375,5.975,0.694875,12.7125,2000_2015
Angola,49.01875,328.5625,83.75,5.740666666666667,102.10026837,70.22222222222223,3561.3125,18.01875,132.625,46.125,3.9193333333333333,47.6875,2.36875,1975.14304511875,6.1937500000000005,6.66875,0.45837500000000003,8.04375,2000_2015
Antigua and Barbuda,75.05625,127.5,0.0,7.949333333333333,1001.58522632875,98.26666666666667,0.0,38.425,0.0,96.9375,4.791333333333333,98.3125,0.125,9759.305728125,3.425,3.375,0.48862500000000003,8.84375,2000_2015
Argentina,75.15625,106.0,10.125,7.966666666666667,773.0389813131251,81.28571428571429,2.0,54.98125,11.375,93.375,6.9126666666666665,92.375,0.1,6998.575103125,1.075,0.9500000000000001,0.794125,16.50625,2000_2015
Armenia,73.4,117.375,1.0,3.7026666666666666,131.0074187505,87.5625,274.25,44.70625,1.0,89.125,4.8613333333333335,87.375,0.1,1999.98631765,2.0375,2.1125000000000003,0.698375,11.7875,2000_2015
Australia,81.8125,63.1875,1.0,10.155333333333335,5332.2264727375,93.4,103.9375,55.8625,1.375,86.75,8.836666666666668,86.875,0.1,34637.565046875,0.66875,0.625,0.9181250000000001,20.0375,2000_2015
Austria,81.48125,65.75,0.0,12.235999999999999,4928.4391880525,81.0625,77.25,48.2875,0.0,86.0,4.715333333333334,86.75,0.1,33827.47630875,1.73125,1.9375,0.862375,15.3875,2000_2015
Azerbaijan,70.73125,115.1875,6.0625,0.9919999999999999,131.1487469148125,59.214285714285715,598.1875,43.84375,7.1875,75.8125,5.679333333333333,82.3125,0.1,3302.94780699375,2.9,2.94375,0.7026875,11.35,2000_2015
Bahrain,75.725,65.375,0.0,1.9346666666666665,602.087139648875,98.125,6.6875,51.65625,0.0,98.0,3.8073333333333332,98.0625,0.1,11191.247420625,6.10625,5.95,0.8079375,14.1125,2000_2015
Bangladesh,69.3,141.375,153.625,0.01,32.3209715146875,77.61538461538461,4649.9375,12.875,201.5625,87.5,2.8546666666666667,92.75,0.1,443.561481025,13.775,14.33125,0.517875,8.69375,2000_2015
Barbados,74.35625,77.625,0.0,8.206666666666667,389.07699521374997,84.06666666666666,0.0,45.975,0.0,80.3125,6.122,89.9375,0.25625,12017.098529375,3.95625,3.91875,0.7704375,14.89375,2000_2015
Belarus,69.90625,218.75,0.5625,13.497333333333334,329.046455333125,88.9375,24.8125,54.74375,0.875,89.875,6.191999999999999,92.1875,0.1,3811.525348,2.2125,2.3375,0.74325,14.75,2000_2015
Belgium,80.68125,70.1875,0.25,11.042666666666666,2392.4326567562503,74.5,81.5625,50.89375,1.0,97.75,5.962000000000001,97.3125,0.1,16915.306,0.8625,0.8562500000000001,0.87775,16.7875,2000_2015
Belize,69.26875,155.5,0.0,6.252666666666667,365.843489793125,94.75,0.0,37.675,0.0,95.5,5.039333333333333,95.1875,0.43125,3933.0121745,3.55625,3.4875,0.6939375,12.45625,2000_2015
Benin,57.56875,269.375,25.0,1.0,43.99195641925,62.57142857142857,1116.875,19.6125,39.25,67.6875,4.636,67.9375,1.70625,561.167968,8.25,8.1375,0.4380625,8.85,2000_2015
Bhutan,66.1625,230.25,0.6875,0.2786666666666667,134.76406995375,94.125,80.25,17.58125,0.9375,89.375,5.346,93.875,0.35625,1353.98694560625,17.21875,17.925,0.18387499999999998,10.225,2000_2015
Bosnia and Herzegovina,75.96875,64.9375,0.0,4.405333333333333,215.45745909825,71.66666666666667,319.1875,48.9625,0.0,78.3125,8.741999999999999,78.5,0.1,2245.0260235625,2.78125,2.75625,0.45037499999999997,12.225,2000_2015
Botswana,56.05,448.125,2.0,4.67,334.26697087218747,87.3125,237.875,32.24375,3.125,96.1875,5.510666666666666,95.8125,16.525,4498.2854311875,7.4375,7.8125,0.630375,12.1375,2000_2015
Brazil,73.38125,150.6875,68.25,7.213333333333334,390.69559517187497,96.1875,95.375,47.0625,77.25,98.3125,8.019333333333334,97.9375,0.1,6143.1617935,3.05,3.0125,0.7101875,14.1625,2000_2015
Brunei Darussalam,76.4875,67.0625,0.0,0.37866666666666665,1276.879485248125,97.875,7.3125,29.718750000000004,0.0,97.5,2.82,96.8125,0.1,19744.808101875,6.2,5.675,0.839375,14.10625,2000_2015
Bulgaria,72.85,125.5,0.9375,10.865333333333332,350.74520402625,94.5,1530.3125,54.5,1.0,94.25,7.236000000000001,94.0,0.1,4938.981821375,2.13125,2.15625,0.754625,13.725,2000_2015
Burkina Faso,55.64375,252.5,44.75,4.241333333333333,52.0455813263125,81.1,5091.75,15.5,79.9375,69.0,6.037999999999999,77.3125,1.8375,410.37203431250003,7.41875,6.98125,0.2296875,5.40625,2000_2015
Burundi,55.5375,291.5625,23.25,4.1033333333333335,15.335497774875,93.33333333333333,1349.5,15.3125,35.5625,86.625,7.089333333333333,85.75,3.0875,137.81532131875,8.01875,8.0125,0.327875,7.48125,2000_2015
Cabo Verde,72.51875,116.1875,0.0,3.448,188.6329873781875,80.64285714285714,0.125,24.375,0.0,84.375,4.755333333333334,79.0,0.53125,2023.54103925,8.0125,7.975,0.57,12.2,2000_2015
Cambodia,64.34375,196.375,16.75,1.486,33.7965609773125,79.6,1880.8125,15.3625,20.5,74.1875,5.740666666666667,72.0625,1.025,466.19687805,10.14375,10.88125,0.4919375,9.875,2000_2015
Cameroon,54.01875,294.875,54.9375,4.141333333333334,44.4622999386875,76.81818181818181,2979.25,23.61875,86.1875,72.5,4.719333333333334,69.4375,6.2125,781.0160044125,6.55,6.60625,0.47000000000000003,8.90625,2000_2015
Canada,81.6875,64.625,2.0,8.053333333333333,4694.078971425,28.846153846153847,129.5,55.8625,2.0,85.3125,7.0520000000000005,91.0625,0.1,29382.907523125,0.50625,0.4375,0.8921875,15.875,2000_2015
Central African Republic,48.5125,333.0625,16.5,1.2313333333333332,40.905543112125,42.57142857142857,699.4375,17.0875,24.5,41.3125,4.039333333333333,42.4375,8.98125,363.05590485,7.10625,7.0875,0.3355,6.2375,2000_2015
Chad,50.3875,227.75,44.875,0.41133333333333333,32.2773204970625,29.875,4687.75,16.31875,78.125,32.875,4.379333333333333,26.8125,4.3375,484.79169405625,7.14375,7.04375,0.316625,6.0875,2000_2015
Chile,79.45,63.625,2.0,6.978,775.54081278375,77.2,1.0625,55.5875,2.1875,83.625,6.911333333333333,88.8125,0.1,6202.3443635625,0.8875000000000001,0.9125000000000001,0.8013125,14.9,2000_2015
China,74.2625,73.75,294.875,4.1819999999999995,73.5837628956875,80.4375,65857.9375,21.80625,350.0,93.6875,4.918,93.3125,0.1,2345.3031576875,4.6375,4.025,0.66025,11.4375,2000_2015
Colombia,73.2875,124.25,13.875,4.419333333333333,516.640179215,79.0,9.5,49.54375,16.375,84.25,6.34,79.1875,0.1,3321.6607483125,2.3,2.075,0.681875,12.23125,2000_2015
Comoros,61.58125,240.9375,1.6875,0.13466666666666666,47.7314576225,76.46153846153847,62.625,18.25625,2.0,67.8125,4.832,66.9375,0.28125,630.38433406875,7.275,7.1625,0.324625,9.95625,2000_2015
Costa Rica,78.59375,69.375,1.0,3.9246666666666665,972.359149879375,79.3125,0.1875,46.725,1.0,69.9375,8.620000000000001,79.75,0.1,3957.22728625,1.9625,1.90625,0.7369375,12.8375,2000_2015
Croatia,76.11875,89.0,0.0,12.448,1162.85632917,96.22222222222223,23.6875,52.35625,0.0,95.5,7.370666666666667,95.375,0.1,9056.7847190625,1.74375,1.71875,0.7890625,13.8875,2000_2015
Cuba,77.975,57.5625,1.0,4.190666666666667,364.5638580836875,96.25,0.0,49.4625,1.0,98.6875,6.4286666666666665,93.9375,0.1,3180.4348844375,3.44375,3.26875,0.742125,14.69375,2000_2015
Cyprus,79.675,54.125,0.0,10.260666666666667,932.6673898875,92.625,1.9375,53.162499999999994,0.0,98.0,6.760000000000001,98.0,0.1,13898.885501249999,0.90625,1.0,0.8330625,13.51875,2000_2015
Djibouti,60.75625,274.6875,1.4375,0.764,98.838448121875,78.0,113.875,26.25,1.875,74.875,7.070666666666667,75.125,3.28125,897.9998706499999,5.84375,5.7,0.4184375,4.75,2000_2015
Dominican Republic,72.34375,143.5,6.4375,6.030666666666666,360.678997136875,65.125,23.0,48.14375,7.8125,75.625,4.681333333333333,83.1875,1.41875,3509.4991863125,3.46875,3.375,0.685,12.74375,2000_2015
Ecuador,74.725,132.125,7.375,3.8073333333333332,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,5.88,89.1875,0.19375,2005.3524679375,1.38125,1.26875,0.698875,13.0125,2000_2015
El Salvador,71.74375,155.0625,2.5625,2.6926666666666668,341.56915731,86.0625,0.125,45.325,2.875,82.25,7.1033333333333335,87.1875,0.2875,2517.8346304375,1.80625,1.725,0.6504375,12.65625,2000_2015
Equatorial Guinea,55.3125,279.375,3.0,7.342,552.671538039375,9.0,294.5,17.85625,4.0,36.875,2.929333333333333,29.9375,5.1375,7902.4107885625,6.65625,6.6,0.5361875,8.325,2000_2015
Eritrea,60.6875,308.625,6.3125,0.608,6.4360693815625,86.42857142857143,175.0,15.15625,8.9375,87.8125,3.4686666666666666,82.25,1.2125,259.3953562916667,8.08125,8.01875,0.2553125,4.925,2000_2015
Estonia,74.94375,169.6875,0.0,9.014666666666667,859.5750084284375,86.83333333333333,3.5,56.68125,0.0,94.25,5.687333333333333,94.125,0.1,8340.4329494375,2.075,2.1375,0.8233125,15.9375,2000_2015
Ethiopia,59.1125,285.5625,187.75,1.0746666666666667,32.482109182375,64.11111111111111,3948.375,14.8,288.5,51.125,4.901333333333333,46.1875,2.725,264.97094995,8.38125,6.475,0.346125,6.8,2000_2015
Fiji,68.7125,125.0,0.0,1.4626666666666666,139.1568375969375,98.875,50.0,50.5625,0.0,97.125,3.8973333333333335,91.6875,0.1,2947.612688875,4.09375,3.79375,0.7022499999999999,14.18125,2000_2015
France,82.21875,73.125,2.9375,12.404666666666666,3751.50657413375,51.25,2661.625,51.98125,3.4375,98.25,6.556,98.0625,0.1,26465.551380625,0.625,0.6,0.8705625,15.9,2000_2015
Gabon,62.24375,220.4375,2.0,7.8773333333333335,261.077778610625,57.63636363636363,349.8125,28.81875,3.0,57.25,3.1753333333333336,54.5,8.0,5179.256188625,6.91875,6.775,0.654375,12.4125,2000_2015
Georgia,73.50625000000001,114.9375,1.1875,5.623333333333333,99.5257140183125,77.25,1298.0,47.74375,1.25,81.1875,7.3306666666666676,83.5,0.1,2158.28086928125,2.75,2.89375,0.6779375,12.675,2000_2015
Germany,81.175,71.25,2.5,11.628666666666668,3900.89026089375,77.4375,1497.1875,51.99375,3.25,94.8125,4.073333333333333,89.875,0.1,24337.7491,1.1187500000000001,1.1062500000000002,0.8945000000000001,16.6,2000_2015
Ghana,60.8625,180.0625,40.3125,1.2686666666666668,77.249122034875,67.5,3419.75,21.725,59.8125,78.9375,4.328666666666666,73.875,2.2875,834.3761008125,7.65,7.575,0.525875,9.5125,2000_2015
Greece,81.21875,73.625,0.1875,8.803333333333335,1759.24682044375,88.9375,24.875,58.68125,0.4375,91.4375,9.038666666666668,96.625,0.1,16454.23587,0.8125,0.73125,0.8423125,15.9375,2000_2015
Grenada,73.29375,153.75,0.0,8.843333333333334,363.84122981125,95.46666666666667,0.0,40.2125,0.0,95.125,6.188666666666666,95.625,0.1,6259.5172613125005,3.9187499999999997,3.93125,0.2331875,15.20625,2000_2015
Guatemala,71.73125,131.1875,13.125,2.268666666666667,334.027048028125,87.0909090909091,0.0,40.44375,16.125,71.4375,6.593999999999999,85.5625,0.375,2365.83447375,1.3375,1.3375,0.5844374999999999,9.8625,2000_2015
Guinea,56.0125,259.875,30.8125,0.16466666666666668,15.8912829451875,58.666666666666664,1522.0,17.46875,48.375,52.4375,4.009333333333333,47.875,2.19375,279.46479789375,7.64375,7.625,0.36475,7.175,2000_2015
Guinea-Bissau,55.36875,158.3125,4.5625,2.26,21.9616446626875,75.0,331.3125,19.43125,7.3125,74.75,5.870666666666667,65.25,4.81875,384.21493053125,7.5,7.38125,0.2541875,8.2875,2000_2015
Guyana,65.6375,203.9375,0.5625,7.406000000000001,187.7650179566875,88.2,0.0,36.38125,1.0,87.75,6.0840000000000005,88.1875,1.0625,1783.8809370625,5.68125,5.46875,0.6198125,10.7875,2000_2015
Haiti,59.86875,168.3125,17.0,5.486,36.129200178937495,40.666666666666664,71.9375,39.275,24.8125,53.8125,6.183333333333334,48.0,2.7375,434.36012815,4.24375,4.25625,0.4620625,8.45,2000_2015
Honduras,72.99375,142.0,4.625,3.0420000000000003,192.11563525374999,95.0625,0.0,39.74375,5.6875,95.375,8.147333333333332,95.625,0.81875,1421.7880825,2.4,2.3375,0.590125,10.8875,2000_2015
India,65.41875,146.5625,1366.6875,1.942,33.2426210915625,35.0,46454.1875,14.79375,1812.5,69.625,4.358666666666666,67.0625,0.25625,837.9200509125,27.1,27.94375,0.5495,9.98125,2000_2015
Indonesia,67.55625,166.5625,151.1875,0.06866666666666667,83.768315591875,73.5625,16244.9375,19.95625,186.625,62.1875,2.6633333333333336,72.375,0.2,1669.116783075,3.41875,3.9437499999999996,0.6414375,11.6125,2000_2015
Iraq,70.35625,136.75,31.1875,0.13466666666666666,120.663689503125,64.875,3454.375,48.59375,38.0,55.625,4.435833333333334,65.75,0.1,3542.55753725,5.4,5.1625,0.6335,9.90625,2000_2015
Ireland,80.15,72.4375,0.0,12.654,4867.3126046874995,86.83333333333333,174.5,53.6875,0.0,86.125,7.728666666666667,86.125,0.1,33835.272005,0.3,0.21875,0.8915,17.65625,2000_2015
Israel,81.3,59.5,0.9375,2.497333333333333,1467.535826921875,97.4375,138.9375,54.9875,1.0,94.25,7.478666666666667,89.0,0.1,18860.476015625,1.14375,1.1,0.8731875,15.7125,2000_2015
Italy,82.1875,54.1875,2.0,8.266666666666667,2937.1376542306252,95.5,1961.375,56.15,2.3125,96.125,8.777333333333333,94.75,0.1,21234.782370625,0.5125,0.525,0.8580625,15.93125,2000_2015
Jamaica,74.29375,141.25,1.0,3.624,134.249450170875,83.15384615384616,0.1875,45.425,1.0,89.625,5.144,89.3125,1.2375,2509.546469625,1.88125,1.7375,0.709625,12.275,2000_2015
Jordan,72.9875,114.3125,4.0,0.5173333333333333,273.59953421875,97.0,26.5,53.0,4.0,97.125,8.781333333333333,97.0,0.1,1822.629925625,3.8874999999999997,3.86875,0.729,13.237499999999999,2000_2015
Kazakhstan,66.7625,232.0625,7.125,6.641333333333334,203.03090856,97.3125,1246.9375,45.15625,8.0625,97.5,4.019333333333333,96.4375,0.1,4040.586664375,2.4375,2.54375,0.7450625,14.025,2000_2015
Kenya,57.48125,348.5625,65.875,1.602,61.6554643435,74.57142857142857,2643.875,15.5625,98.625,70.1875,4.668666666666667,70.5,8.7625,716.77006788125,8.4,8.2875,0.49712500000000004,9.96875,2000_2015
Kiribati,65.15,129.4375,0.0,0.4406666666666667,77.12610334499999,75.1875,0.0,69.43125,0.0,75.25,5.728,74.9375,0.1,1175.29241553125,0.15625,0.1375,0.36374999999999996,11.69375,2000_2015
Kuwait,73.84375,83.25,0.5,0.021333333333333333,1719.8409805812498,98.1875,15.375,59.60625,1.0,98.1875,2.8093333333333335,98.5,0.1,31914.378339375,3.28125,3.15625,0.7895000000000001,13.725,2000_2015
